publ,281023
lms,162635
pvw,112211
cap,100019
save,81682
grp,44118
media,42120
aud,39643
them,35851
cpvc,35104
state,24161
slid,23165
txt,23032
ss,22222
aa,18959
tts,16778
eff,10820
qs,10812
