Characters Category,Medicine,%STRING_VALUE%,Characters
Characters Category,NextGen,%STRING_VALUE%,Characters
Characters Category,Wesley,%STRING_VALUE%,Characters
Characters Specifics,Debbie,%STRING_VALUE%,Characters
Characters Specifics,Female,%STRING_VALUE%,Characters
Characters Specifics,Genesys Black Logo,%STRING_VALUE%,Characters
Characters Specifics,Male,%STRING_VALUE%,Characters
Characters Specifics,Maria,%STRING_VALUE%,Characters
Characters:Dialog,Characters Download Link Clicked,%STRING_VALUE%,Characters
Characters:PI,Replace Character Button Clicked,1,Characters
Community,Community panel closed,%STRING_VALUE%,Community
Community,Community panel opened,%STRING_VALUE%,Community
Community,Switching back to Community tab from Project tab,%STRING_VALUE%,Community
Community,Switching to Project tab from Community tab,%STRING_VALUE%,Community
CPVC,Additional Recording inCPVC,1,CPVC
CPVC,Audio Resource In CPVC,%STRING_VALUE%,CPVC
CPVC,Edit Mouse Points inCPVC,1,CPVC
CPVC,Insert Object in CPVC,%STRING_VALUE%,CPVC
CPVC,Pan N Zoom in CPVC,1,CPVC
CPVC,PIP Video in CPVC,%STRING_VALUE%,CPVC
CPVC,Remove Transition in CPVC,1,CPVC
CPVC,Timeline used in CPVC,%STRING_VALUE%,CPVC
CPVC,Transition Added in CPVC,%STRING_VALUE%,CPVC
CPVC:PI,Edit Video in CPVC,1,CPVC
CPVC:Publish,Publish To Youtube in CPVC,1,CPVC
DeviceCapture,Dimensions,%STRING_VALUE%,Device_Capture
DeviceCapture,InsertGesture,%STRING_VALUE%,Device_Capture
DeviceCapture,Launch,1,Device_Capture
Drag Drop Interaction,Create Drag Drop Interaction,%STRING_VALUE%,Drag_Drop_Interaction
Drag Drop Interaction,Create Drag Drop Interaction,1,Drag_Drop_Interaction
eLearning Brothers,Downloading Asset,%STRING_VALUE%,elearning_brothers
eLearning Brothers,eLearning brothers page opened,%STRING_VALUE%,elearning_brothers
Equation,Edited,%STRING_VALUE%,Math_Magic
Equation,Inserted,%STRING_VALUE%,Math_Magic
Export,Preferences,1,Export
Export,Project Captions and Closed Captions,1,Export
Export,Styles,1,Export
Export,XML,1,Export
FMR Edit,Delete,1,FMR
FMR Edit,Insert,1,FMR
FMR Edit,Merge,1,FMR
FMR Edit,Split,1,FMR
Hyperlink,Insert Hyperlink,1,Hyperlink
Hyperlink,Modify Hyperlink,1,Hyperlink
Hyperlink:Dialog,Hyperlink Linked To Action,%STRING_VALUE%,Hyperlink
Hyperlink:PI,Delete Hyperlink,1,Hyperlink
