CPD1b52efe9fc7a4ff49457dfae214cf85c,kCPModalDialogClosedCommand,0
CPD1b52efe9fc7a4ff49457dfae214cf85c,kCPModalDialogOpenCommand,0
CPD1b52efe9fc7a4ff49457dfae214cf85c,kCPModifySessionGeneralPreferencesCommand,0
CPD1b52efe9fc7a4ff49457dfae214cf85c,kCPSaveWorkspaceCommand,0
CPD1b52efe9fc7a4ff49457dfae214cf85c,kUpdateResourceStatusCommand,0
CPVC,Additional Recording inCPVC,1
CPVC,Audio Resource In CPVC,1
CPVC,Edit Mouse Points inCPVC,1
CPVC,Insert Object in CPVC,1
CPVC,Pan N Zoom in CPVC,1
CPVC,PIP Video in CPVC,1
CPVC,Remove Transition in CPVC,1
CPVC,Timeline used in CPVC,1
CPVC,Transition Added in CPVC,1
CPVC:PI,Edit Video in CPVC,1
CPVC:Publish,Publish To Youtube in CPVC,1
DeviceCapture,Dimensions,1
DeviceCapture,InsertGesture,1
DeviceCapture,Launch,1
Drag Drop Interaction,Create Drag Drop Interaction,1
eLearning Brothers,Downloading Asset,1
eLearning Brothers,eLearning brothers page opened,1
Equation,Edited,1
Equation,Inserted,1
Export,Preferences,1
Export,Project Captions and Closed Captions,1
Export,Styles,1
Export,XML,1
External Library,Created,0
Fill,Gradient Fill,1
Find And Replace,Find And Replace Palette Opened,0
Find in Library,Find In Library Action Executed,0
FMR Edit,Delete,1
FMR Edit,Insert,1
FMR Edit,Merge,1
FMR Edit,Split,1
HTML5 Tracker,HTML5 Tracker Palette Opened,0
Hyperlink,Insert Hyperlink,1
Hyperlink,Modify Hyperlink,1
Hyperlink:Dialog,Hyperlink Linked To Action,1
Hyperlink:PI,Delete Hyperlink,1
Hyperlink:PI,Insert Hyperlink,1
Hyperlink:PI,Modify Hyperlink,1
Import,Preferences,1
Import,Project Captions and Closed Captions,1
Import,Styles,1
Import,XML,1
Inserting Character,Character Double Click Inserted,1
Inserting Character,Character Single Click Inserted,1
Inserting media,Media Double Click Inserted,1
Inserting Media,Media Single Click Inserted,1
Interactions,---08_Glossary.wdgt,1
Interactions,00_Infosemantics_CpExtra.wdgt,1
Interactions,00_OunceGlossary.wdgt,1
Interactions,08_Glossary-old.wdgt,1
Interactions,08_Glossary_original.wdgt,1
Interactions,08_Glossaryo.wdgt,1
Interactions,Digital-Timer.wdgt,1
Interactions,Insert Interaction,1
